board_rank,priority_band,source,exec_tag,action,owner,unlocks,gate_effect,artifact,minutes_est,depends_on,status,do_not_auto_accept,so_t
11,P0_EXEC,master_execution_board,E04,B2B collect топ-3 (Бекеева/Нурова/Чухонцева),Коптева,Cash до ~2.51M (не гарантия 100%),,live/client_pack/execution_wave_b/10_b2b_collect_confirm_worksheet.csv,30,E01,BLOCKED_RACI,YES,N
12,P0_EXEC,master_execution_board,E05,"Alias Accept топ-5 SKU (T-2750B/C, T-3187A, …)",Коновалова,Margin quality; later apply-pass,,live/client_pack/execution_wave_b/11_alias_top5_evidence_sheet.csv,30,E03 (DOM-PRODUCT),BLOCKED_RACI,YES,N
13,P0_EXEC,master_execution_board,E06,Починить #REF! ЗП янв–фев 2026 (Распределение/Карты),Сливяк,Person payroll SoT H1 2026,,live/client_pack/execution_wave_a/17_zp_p0_fix_runbook.csv,30,—,WAITING_FILE_FIX,YES,N
14,P0_CONFIRM,H66,H66,44-09: Confirm MD STRONG line MDS-13e3a8d48e72d8d8 / Шахновская О. as cost evidence; need workshop card,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
15,P0_CONFIRM,H66,H66,"0-3167/2: Confirm variant→person-cost proxy: 0-3167, 0-3167А (не Accept)",производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
16,P0_CONFIRM,H66,H66,44-04: Confirm MD STRONG line MDS-34651d58581ee62a / Харитонова Марина as cost evidence; need workshop card,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
17,P0_CONFIRM,H66,H66,"0-3014А: Confirm variant→person-cost proxy: 0-3014, 0-3014В (не Accept)",производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
18,P0_CONFIRM,H66,H66,"0-3167А/2: Confirm variant→person-cost proxy: 0-3167, 0-3167А (не Accept)",производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
19,P0_CONFIRM,H66,H66,43-10: Confirm MD STRONG line MDS-f1adcf11008f847d / Борисевич as cost evidence; need workshop card,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
20,P0_CONFIRM,H66,H66,"0-2993A: Confirm variant→person-cost proxy: 0-2993, 0-2993А (не Accept)",производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
21,P0_CONFIRM,H66,H66,43-11: Confirm MD STRONG line MDS-1139570164115134 / Семилетова Л as cost evidence; need workshop card,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
22,P0_CONFIRM,H66,H66,44-07: Confirm MD STRONG line MDS-e5c94078522b6673 / Рубина as cost evidence; need workshop card,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
23,P0_CONFIRM,H66,H66,0-2931: Confirm variant→person-cost proxy: 0-2931А (не Accept),производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
24,P0_CONFIRM,H66,H66,0-3382А: Confirm variant→person-cost proxy: 0-3382 (не Accept),производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
25,P0_CONFIRM,H66,H66,"0-3167/1: Confirm variant→person-cost proxy: 0-3167, 0-3167А (не Accept)",производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
26,P0_CONFIRM,H66,H66,"0-3198С: Confirm variant→person-cost proxy: 0-3198, 0-3198А, 0-3198В (не Accept)",производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
27,P0_REQUEST_FILE,H66,H66,0-2990: Нет PC/SKU/stock/MD cost — запросить workshop card или исключить из HIGH до появления файла,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
28,P0_REQUEST_FILE,H66,H66,0-2987: Нет PC/SKU/stock/MD cost — запросить workshop card или исключить из HIGH до появления файла,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
29,P0_REQUEST_FILE,H66,H66,0-2891: Нет PC/SKU/stock/MD cost — запросить workshop card или исключить из HIGH до появления файла,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
30,P0_REQUEST_FILE,H66,H66,0-2805: Нет PC/SKU/stock/MD cost — запросить workshop card или исключить из HIGH до появления файла,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
31,P0_REQUEST_FILE,H66,H66,0-2924: Нет PC/SKU/stock/MD cost — запросить workshop card или исключить из HIGH до появления файла,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
32,P0_REQUEST_FILE,H66,H66,0-2988: Нет PC/SKU/stock/MD cost — запросить workshop card или исключить из HIGH до появления файла,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
33,P0_REQUEST_FILE,H66,H66,0-2806: Нет PC/SKU/stock/MD cost — запросить workshop card или исключить из HIGH до появления файла,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
34,P0_REQUEST_FILE,H66,H66,0-3015: Нет PC/SKU/stock/MD cost — запросить workshop card или исключить из HIGH до появления файла,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
35,P0_REQUEST_FILE,H66,H66,0-2804: Нет PC/SKU/stock/MD cost — запросить workshop card или исключить из HIGH до появления файла,производство / MD cost,MD cost proxy coverage,,execution_wave_b/23_residual_p0_owner_actions.csv,5,не блокирует gate,WAITING_OWNER,YES,N
36,P1_EXEC,master_execution_board,E09,MD 2026: заполнить 26 salon cost + закрепить shop process,Мокеева,Forward unit-econ pilot (не 2024-25),,live/client_pack/execution_wave_b/04_md_salon_cost_wo.csv,30,E03 (DOM-COST) желательно,WAITING_OPS,YES,N
37,P1_EXEC,master_execution_board,E11,RACI остаток: PROD + SRC-CTRL 01/02/03,Янина,Полный domain-owned staging,,live/client_pack/sign_session_pack/01_SIGN_CHECKBOXES.csv,10,E01+E03,WAITING_CONFIRM,YES,N
38,P1_EXEC,master_execution_board,E12,Policy: no unit-econ МД 2024–25 в обещаниях,Янина,Честный Stage-1 close,,live/marts/draft_recommended_decisions.csv (E12 row),30,—,WAITING_POLICY,YES,N
39,P1_WC,H67,H67,Fabric WC: 4 A-band bank payees + 15 list-only suppliers to check,Янина / закупки,WC тканей transparency,,execution_wave_b/29_fabric_procurement_owner_actions.csv,20,не блокирует gate,WAITING_OWNER,YES,N
