metric_id,metric_name,value,unit,period,cutoff,perimeter,source,evidence_status,release_status,allowed_client_wording,prohibited_interpretation,limitation,last_updated
M013,TSUM net reconciliation,93.3,percent,control_period,control_cut,TSUM settlement reconciliation,TSUM settlement reconciliation,STRONG_INDICATION,FROZEN_WITH_LIMITATION,"Поступления ЦУМ сопоставляются на высоком уровне: около 93,3%",Не использовать как полную channel profitability,Методика комиссии и полный direct channel cost требуют единого стандарта,2026-08-07
M014,Товарная валовая маржа IM,81.8,percent,30_months,control_cut,IM costed sales,channel margin mart,PARTIAL,FROZEN_WITH_LIMITATION,"Диагностическая товарная валовая маржа интернет-магазина составляет около 81,8%",Не называть contribution margin или операционной маржой,"Не включает полный direct channel cost, маркетинг и стоимость капитала",2026-08-07
M015,Товарная валовая маржа B2B,68.3,percent,30_months,control_cut,B2B costed sales,channel margin mart,PARTIAL,FROZEN_WITH_LIMITATION,"Диагностическая товарная валовая маржа B2B составляет около 68,3%",Не называть полной прибыльностью B2B,Открытые расчёты и полный channel cost не закрыты,2026-08-07
M016,Маржа ЦУМ reported view,37.9,percent,30_months,control_cut,TSUM reported classification,channel margin mart,PARTIAL,DUAL_VIEW,"Reported view ЦУМ показывает около 37,9% товарной маржи при текущей классификации комиссии",Не делать вывод об убыточности канала,Комиссия включена в COGS и искажает сопоставимость с другими каналами,2026-08-07
M017,Маржа ЦУМ product view,87.9,percent,30_months,control_cut,TSUM product classification,channel margin mart,PARTIAL,DUAL_VIEW,"Product view ЦУМ показывает около 87,9% товарной маржи до полной стоимости канала",Не делать вывод о высокой полной рентабельности канала,Не включает комиссию и полный direct channel cost,2026-08-07
M018,Сопоставленный остаток тканей,29.9,million_RUB,2026-05-31,2026-05-31,Matched positive fabric inventory,fabric inventory and movement bridge,STRONG_INDICATION,INDICATIVE,"Сопоставленный положительный остаток тканей составляет около 29,9 млн ₽",Не называть подтверждённым балансом склада,Не audited warehouse SoT; требуется физическая инвентаризация,2026-08-07
M019,Ткани без подтверждённого движения более 365 дней,12.87,million_RUB,as_of_2026-07-29,2026-07-29,Matched positive fabric inventory aging,fabric aging,STRONG_INDICATION,INDICATIVE,"Около 12,87 млн ₽ находится в материалах без подтверждённого документного движения более 365 дней",Не называть неликвидом или гарантированной суммой высвобождения,Возраст рассчитан по последней документной дате движения; требуется item-level решение,2026-08-07
M020,Позиции тканей без движения более 365 дней,668,SKU,as_of_2026-07-29,2026-07-29,Matched positive fabric inventory aging,fabric aging,STRONG_INDICATION,INDICATIVE,668 положительных сопоставленных позиций не показывают движения более 365 дней,Не считать автоматически морально устаревшими или списываемыми,"Требуется проверка назначения, пригодности и физического наличия",2026-08-07
M021,Открытые B2B документы,15,documents,current_diagnostic_cut,2026-08-05,B2B settlement exposure,B2B settlement register,PARTIAL,INDICATIVE,В диагностическом срезе выявлено 15 открытых B2B-документов,Не называть подтверждённой просроченной дебиторской задолженностью,"Нужен document-level статус оплат, возвратов, корректировок и споров",2026-08-07
M022,Сумма открытых B2B расчётов,2.51,million_RUB,current_diagnostic_cut,2026-08-05,B2B settlement exposure,B2B settlement register,PARTIAL,INDICATIVE,"Зона открытых B2B-расчётов составляет около 2,51 млн ₽",Не включать целиком в гарантированный quick-win cash,Требуется документный closure и подтверждение collectible amount,2026-08-07
M023,Штатный реестр,84,people,2026,source_cut,Provided staff roster,staff roster,CONFIRMED,FROZEN_SOURCE_COUNT,В предоставленной штатной таблице отражено 84 человека,Не трактовать как подтверждённую фактическую численность на текущую дату,Актуальность каждой строки требует owner/HR confirmation,2026-08-07
M024,UNFORMAL в штатной таблице,38,people,2026,source_cut,Provided staff roster,staff roster,PARTIAL,INDICATIVE,В предоставленной штатной таблице 38 строк имеют признак UNFORMAL,Не трактовать признак файла как юридический статус или нарушение,Требуется проверка фактического договорного основания,2026-08-07
M025,UNFORMAL с выплатами,36,people,2026,source_cut,HR-payroll bridge,HR payroll bridge,PARTIAL,INDICATIVE,36 получателей с признаком UNFORMAL присутствуют в платёжном контуре 2026 года,Не называть неправомерными выплатами,"Возможны ГПХ, ИП, самозанятые и иные основания",2026-08-07
M026,Выплаты получателям с признаком UNFORMAL,11.56,million_RUB,2026_partial,source_cut,HR-payroll diagnostic bridge,HR payroll bridge,PARTIAL,QUARANTINE,"Ориентировочный расчётный объём выплат таким получателям составляет около 11,56 млн ₽","Не использовать как окончательный ФОТ, налоговый риск или сумму нарушения",Январь-февраль имеют технические ошибки исходных формул; показатель только диагностический,2026-08-07
M027,Получатели выплат без строки в штатном реестре,27,people,2026,source_cut,Payroll-to-roster reconciliation,payroll versus roster,PARTIAL,INDICATIVE,27 получателей выплат не сопоставлены со строкой предоставленного штатного реестра,Не считать автоматически неоформленными сотрудниками,"Возможны подрядчики, aliases, бывшие сотрудники, разовые выплаты и дефекты master data",2026-08-07
M028,Внесение собственника 03.02.2026,1.2,million_RUB,2026-02-03,2026-02-03,Specific confirmed bank transaction,new bank statement,CONFIRMED,FROZEN_CONFIRMED,"3 февраля 2026 года собственник внёс 1,2 млн ₽",Не использовать отдельно для расчёта net owner cash flow за период,Для итогового owner-flow нужна классификация всех встречных потоков,2026-08-07
M029,Арендные платежи в день внесения,1.2,million_RUB,2026-02-03,2026-02-03,Two rent payments on same date,new bank statement,STRONG_INDICATION,FROZEN_WITH_LIMITATION,В тот же день после внесения отражены два арендных платежа на 400 тыс. ₽ и 800 тыс. ₽,Не утверждать юридическое целевое назначение внесения только по совпадению даты и суммы,"Временная связь сильная, но не заменяет подтверждение назначения",2026-08-07
M030,"Месяцы, прошедшие release gate",18_of_30,months,control_period,control_cut,Diagnostic release gate,release gate,PARTIAL,FROZEN_WITH_LIMITATION,18 из 30 контрольных месяцев готовы к использованию без существенных оговорок; 12 имеют отдельные незакрытые связки,Не использовать как меру качества всей компании,Показатель относится к внутреннему evidence-release control,2026-08-07
