action_id,request_id,domain,dataset,field_name,reason_missing,required_source,owner_role,named_owner,due_date,evidence_link,status,acceptance_test,blocked_analysis,linked_retests,wave,priority_order,blocks_release
ACT-REQ-ST24-G05-movement,REQ-ST24-G05,ST24-G05,Cash,movement,PARTIAL,50,4,,,,OPEN,Финансы,"Полный cash balance, liquidity, owner/card movements","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G05-closing,REQ-ST24-G05,ST24-G05,Cash,closing,ABSENT,0,8,,,,OPEN,Финансы,"Полный cash balance, liquidity, owner/card movements","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G06-notification_id,REQ-ST24-G06,ST24-G06,Tax,notification_id,ABSENT,0,39,,,,OPEN,Налоги,"Точная налоговая задолженность, просрочка, пени, переплата","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G06-allocation_id,REQ-ST24-G06,ST24-G06,Tax,allocation_id,ABSENT,0,39,,,,OPEN,Налоги,"Точная налоговая задолженность, просрочка, пени, переплата","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G06-due_date,REQ-ST24-G06,ST24-G06,Tax,due_date,ABSENT,0,39,,,,OPEN,Налоги,"Точная налоговая задолженность, просрочка, пени, переплата","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G06-amount,REQ-ST24-G06,ST24-G06,Tax,amount,PARTIAL,84.6,6,,,,OPEN,Налоги,"Точная налоговая задолженность, просрочка, пени, переплата","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G06-payment_id,REQ-ST24-G06,ST24-G06,Tax,payment_id,PARTIAL,28.2,28,,,,OPEN,Налоги,"Точная налоговая задолженность, просрочка, пени, переплата","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G07-version_id,REQ-ST24-G07,ST24-G07,Product master,version_id,ABSENT,0,599,,,,OPEN,Продукт + коммерция,Полная маржа SKU/коллекций и надёжная связь калькуляций,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G07-color,REQ-ST24-G07,ST24-G07,Product master,color,ABSENT,0,599,,,,OPEN,Продукт + коммерция,Полная маржа SKU/коллекций и надёжная связь калькуляций,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G07-size,REQ-ST24-G07,ST24-G07,Product master,size,ABSENT,0,599,,,,OPEN,Продукт + коммерция,Полная маржа SKU/коллекций и надёжная связь калькуляций,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G07-valid_from,REQ-ST24-G07,ST24-G07,Product master,valid_from,ABSENT,0,599,,,,OPEN,Продукт + коммерция,Полная маржа SKU/коллекций и надёжная связь калькуляций,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G07-valid_to,REQ-ST24-G07,ST24-G07,Product master,valid_to,ABSENT,0,599,,,,OPEN,Продукт + коммерция,Полная маржа SKU/коллекций и надёжная связь калькуляций,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G07-owner,REQ-ST24-G07,ST24-G07,Product master,owner,ABSENT,0,599,,,,OPEN,Продукт + коммерция,Полная маржа SKU/коллекций и надёжная связь калькуляций,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G08-effective_date,REQ-ST24-G08,ST24-G08,Costing,effective_date,ABSENT,0,234,,,,OPEN,Финансы + производство,"Версионная маржа, стоимость партии, audit trail","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G08-batch_qty,REQ-ST24-G08,ST24-G08,Costing,batch_qty,ABSENT,0,234,,,,OPEN,Финансы + производство,"Версионная маржа, стоимость партии, audit trail","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G08-currency,REQ-ST24-G08,ST24-G08,Costing,currency,ABSENT,0,234,,,,OPEN,Финансы + производство,"Версионная маржа, стоимость партии, audit trail","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G08-rate,REQ-ST24-G08,ST24-G08,Costing,rate,ABSENT,0,234,,,,OPEN,Финансы + производство,"Версионная маржа, стоимость партии, audit trail","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G08-approver,REQ-ST24-G08,ST24-G08,Costing,approver,ABSENT,0,234,,,,OPEN,Финансы + производство,"Версионная маржа, стоимость партии, audit trail","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W2 Product-Cost,3,YES
ACT-REQ-ST24-G09-canonical_sku,REQ-ST24-G09,ST24-G09,Production,canonical_sku,PARTIAL,2.5,159,,,,OPEN,Производство,"Фактическая стоимость единицы, НЗП, lead time","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W3 Production-Materials,4,YES
ACT-REQ-ST24-G09-version_id,REQ-ST24-G09,ST24-G09,Production,version_id,ABSENT,0,163,,,,OPEN,Производство,"Фактическая стоимость единицы, НЗП, lead time","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W3 Production-Materials,4,YES
ACT-REQ-ST24-G09-batch_qty,REQ-ST24-G09,ST24-G09,Production,batch_qty,ABSENT,0,163,,,,OPEN,Производство,"Фактическая стоимость единицы, НЗП, lead time","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W3 Production-Materials,4,YES
ACT-REQ-ST24-G09-finish_date,REQ-ST24-G09,ST24-G09,Production,finish_date,PARTIAL,89,18,,,,OPEN,Производство,"Фактическая стоимость единицы, НЗП, lead time","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W3 Production-Materials,4,YES
ACT-REQ-ST24-G10-bom_id,REQ-ST24-G10,ST24-G10,Materials,bom_id,ABSENT,0,1338,,,,OPEN,Продукт + склад + производство,"Материальная себестоимость, отклонения, остатки и НЗП","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W3 Production-Materials,4,YES
ACT-REQ-ST24-G10-version_id,REQ-ST24-G10,ST24-G10,Materials,version_id,ABSENT,0,1338,,,,OPEN,Продукт + склад + производство,"Материальная себестоимость, отклонения, остатки и НЗП","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W3 Production-Materials,4,YES
ACT-REQ-ST24-G10-norm_qty,REQ-ST24-G10,ST24-G10,Materials,norm_qty,ABSENT,0,1338,,,,OPEN,Продукт + склад + производство,"Материальная себестоимость, отклонения, остатки и НЗП","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W3 Production-Materials,4,YES
ACT-REQ-ST24-G10-lot_id,REQ-ST24-G10,ST24-G10,Materials,lot_id,ABSENT,0,1338,,,,OPEN,Продукт + склад + производство,"Материальная себестоимость, отклонения, остатки и НЗП","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W3 Production-Materials,4,YES
ACT-REQ-ST24-G10-issue_qty,REQ-ST24-G10,ST24-G10,Materials,issue_qty,ABSENT,0,1338,,,,OPEN,Продукт + склад + производство,"Материальная себестоимость, отклонения, остатки и НЗП","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W3 Production-Materials,4,YES
ACT-REQ-ST24-G10-production_order_id,REQ-ST24-G10,ST24-G10,Materials,production_order_id,ABSENT,0,1338,,,,OPEN,Продукт + склад + производство,"Материальная себестоимость, отклонения, остатки и НЗП","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W3 Production-Materials,4,YES
ACT-REQ-ST24-G11-sales_line_id,REQ-ST24-G11,ST24-G11,B2B,sales_line_id,ABSENT,0,29,,,,OPEN,Коммерция + финансы,Order-to-cash и дебиторская задолженность по документу,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G11-invoice_id,REQ-ST24-G11,ST24-G11,B2B,invoice_id,ABSENT,0,29,,,,OPEN,Коммерция + финансы,Order-to-cash и дебиторская задолженность по документу,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G11-due_date,REQ-ST24-G11,ST24-G11,B2B,due_date,ABSENT,0,29,,,,OPEN,Коммерция + финансы,Order-to-cash и дебиторская задолженность по документу,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G11-payment_allocation_id,REQ-ST24-G11,ST24-G11,B2B,payment_allocation_id,ABSENT,0,29,,,,OPEN,Коммерция + финансы,Order-to-cash и дебиторская задолженность по документу,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G11-open_balance,REQ-ST24-G11,ST24-G11,B2B,open_balance,ABSENT,0,29,,,,OPEN,Коммерция + финансы,Order-to-cash и дебиторская задолженность по документу,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G12-sales_line_id,REQ-ST24-G12,ST24-G12,B2B,sales_line_id,ABSENT,0,12,,,,OPEN,Коммерция,Полный FY2026 и сезонная динамика,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G12-SKU,REQ-ST24-G12,ST24-G12,B2B,SKU,ABSENT,0,12,,,,OPEN,Коммерция,Полный FY2026 и сезонная динамика,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G12-qty,REQ-ST24-G12,ST24-G12,B2B,qty,PARTIAL,41.7,7,,,,OPEN,Коммерция,Полный FY2026 и сезонная динамика,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G12-revenue,REQ-ST24-G12,ST24-G12,B2B,revenue,PARTIAL,41.7,7,,,,OPEN,Коммерция,Полный FY2026 и сезонная динамика,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G12-cost,REQ-ST24-G12,ST24-G12,B2B,cost,PARTIAL,41.7,7,,,,OPEN,Коммерция,Полный FY2026 и сезонная динамика,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G12-commission,REQ-ST24-G12,ST24-G12,B2B,commission,PARTIAL,41.7,7,,,,OPEN,Коммерция,Полный FY2026 и сезонная динамика,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G12-return,REQ-ST24-G12,ST24-G12,B2B,return,ABSENT,0,12,,,,OPEN,Коммерция,Полный FY2026 и сезонная динамика,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G13-sales_line_id,REQ-ST24-G13,ST24-G13,B2B,sales_line_id,ABSENT,0,10,,,,OPEN,Коммерция + финансы,Чистая рентабельность площадок,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G13-SKU,REQ-ST24-G13,ST24-G13,B2B,SKU,ABSENT,0,10,,,,OPEN,Коммерция + финансы,Чистая рентабельность площадок,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G13-discount,REQ-ST24-G13,ST24-G13,B2B,discount,ABSENT,0,10,,,,OPEN,Коммерция + финансы,Чистая рентабельность площадок,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G13-return,REQ-ST24-G13,ST24-G13,B2B,return,ABSENT,0,10,,,,OPEN,Коммерция + финансы,Чистая рентабельность площадок,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W4 B2B,5,YES
ACT-REQ-ST24-G14-owner,REQ-ST24-G14,ST24-G14,Governance,owner,ABSENT,0,53,,,,OPEN,Data steward + владельцы доменов,Поддержание доверия после изменения данных,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W0 Governance,1,YES
ACT-REQ-ST24-G14-last_run,REQ-ST24-G14,ST24-G14,Governance,last_run,ABSENT,0,53,,,,OPEN,Data steward + владельцы доменов,Поддержание доверия после изменения данных,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W0 Governance,1,YES
ACT-REQ-ST24-G14-exception_id,REQ-ST24-G14,ST24-G14,Governance,exception_id,ABSENT,0,53,,,,OPEN,Data steward + владельцы доменов,Поддержание доверия после изменения данных,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W0 Governance,1,YES
