link_config_id,edge_id,domain,from_file,from_source_file_ids,from_version_ids,to_file,to_source_file_ids,to_version_ids,relation,period,current_join,current_status,status_class,current_evidence,missing_key_or_control,target_join,analysis_enabled,owner_role,false_join_risk,migration_wave,integration_test_id,acceptance_criteria,configuration_state,automatable_now,stop_gate,owner_name,evidence_location,execution_status,current_join_tokens,target_join_tokens,from_field_candidates,to_field_candidates,source_defects_touching_link,technical_retest_status,after_remediation_assessment,field_lineage_rows,production_automation_allowed
LCFG-011,TAX-EDGE-011,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,VER-001-002,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,VER-003-001,НДФЛ obligation ↔ cash payment,2025,entity + year + purpose text,Частично,Частично,НДФЛ по форме 1863059.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Погашение НДФЛ по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-011,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,entity | year | purpose_text,obligation_id | ens_allocation_id | bank_payment_id,,,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-012,TAX-EDGE-012,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,VER-020-002,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,VER-003-001,РСВ obligation ↔ cash payment,2025,entity + year + purpose text,Частично,Частично,РСВ по форме 2789470.66 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Погашение взносов по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-012,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,entity | year | purpose_text,obligation_id | ens_allocation_id | bank_payment_id,,,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-013,TAX-EDGE-013,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,VER-019-004,ДДС 2025.xlsx,FILE-018,VER-007-002,Payroll calculation ↔ ДДС payroll cash,2025-04,month + displayed control total,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-013,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Configured — controlled current link,"Да, только на текущем grain",Автоматизация допустима после owner sign-off и регулярного теста,,,Draft,month | displayed_control_total,payroll_batch_id | payment_date | employer_id,employer_id:Распределение!О(70),,,PASS at current grain,Ready for owner sign-off at current grain,3,After owner sign-off and scheduled test
LCFG-014,TAX-EDGE-014,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,VER-019-004,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,Payroll rows ↔ bank registry,2025-04,date + amount + account,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-014,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Configured — controlled current link,"Да, только на текущем grain",Автоматизация допустима после owner sign-off и регулярного теста,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | bank_payment_id:Распределение!О(70) | bank_payment_id:Распределение!П(70),,,PASS at current grain,Ready for owner sign-off at current grain,3,After owner sign-off and scheduled test
LCFG-015,TAX-EDGE-015,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,VER-019-004,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,VER-003-001,Payroll rows ↔ bank registry,2025-04,date + amount + account,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-015,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Configured — controlled current link,"Да, только на текущем grain",Автоматизация допустима после owner sign-off и регулярного теста,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | bank_payment_id:Распределение!О(70) | bank_payment_id:Распределение!П(70),,,PASS at current grain,Ready for owner sign-off at current grain,3,After owner sign-off and scheduled test
LCFG-016,TAX-EDGE-016,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,VER-019-004,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,VER-002-003,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-016,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,Точный дубль,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,4,No
LCFG-017,TAX-EDGE-017,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,VER-019-004,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,VER-001-002,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-017,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-018,TAX-EDGE-018,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,VER-019-004,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,VER-021-002,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-018,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-019,TAX-EDGE-019,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,VER-019-004,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,VER-021-002,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-019,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-020,TAX-EDGE-020,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,VER-019-004,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,VER-020-002,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-020,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-021,TAX-EDGE-021,Налоги/ФОТ,ЗП за апрель 2025.xlsx,FILE-030,VER-019-004,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,VER-020-002,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-021,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employer_id:Распределение!О(70) | employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | accrual_period:Распределение!О(70) | accrual_period:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-022,TAX-EDGE-022,Налоги/ФОТ,ЗП за апрель 2026.xlsx,FILE-031,VER-019-010,ДДС 2026.xlxs.xlsx,FILE-019,VER-007-003,Payroll calculation ↔ ДДС payroll cash,2026-04,month + displayed control total,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-022,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | displayed_control_total,payroll_batch_id | payment_date | employer_id,,,Внешние ссылки,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,3,No
LCFG-023,TAX-EDGE-023,Налоги/ФОТ,ЗП за апрель 2026.xlsx,FILE-031,VER-019-010,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,Payroll rows ↔ bank registry,2026-04,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-023,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!С(70) | employee_id:вышивальщицы!2026-04-01 00:00:00 / ФИО(70) | bank_payment_id:Распределение!ИТОГО ЗП за апрель(70) | bank_payment_id:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-024,TAX-EDGE-024,Налоги/ФОТ,ЗП за апрель 2026.xlsx,FILE-031,VER-019-010,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,VER-003-001,Payroll rows ↔ bank registry,2026-04,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-024,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!С(70) | employee_id:вышивальщицы!2026-04-01 00:00:00 / ФИО(70) | bank_payment_id:Распределение!ИТОГО ЗП за апрель(70) | bank_payment_id:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-025,TAX-EDGE-025,Налоги/ФОТ,ЗП за апрель 2026.xlsx,FILE-031,VER-019-010,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,FILE-063,VER-021-003,Payroll accrual ↔ tax form,2026-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-025,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employee_id:Распределение!С(70) | employee_id:вышивальщицы!2026-04-01 00:00:00 / ФИО(70) | accrual_period:Распределение!П(70) | accrual_period:Распределение!С(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-026,TAX-EDGE-026,Налоги/ФОТ,ЗП за апрель 2026.xlsx,FILE-031,VER-019-010,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,FILE-063,VER-021-003,Payroll accrual ↔ tax form,2026-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-026,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | year_aggregate,employer_id | employee_id | accrual_period | tax_code,employee_id:Распределение!С(70) | employee_id:вышивальщицы!2026-04-01 00:00:00 / ФИО(70) | accrual_period:Распределение!П(70) | accrual_period:Распределение!С(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,4,No
LCFG-027,TAX-EDGE-027,Налоги/ФОТ,ЗП за июнь 2025.xlsx,FILE-032,VER-019-006,ДДС 2025.xlsx,FILE-018,VER-007-002,Payroll calculation ↔ ДДС payroll cash,2025-06,month + displayed control total,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-027,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,month | displayed_control_total,payroll_batch_id | payment_date | employer_id,employer_id:Распределение!О(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-028,TAX-EDGE-028,Налоги/ФОТ,ЗП за июнь 2025.xlsx,FILE-032,VER-019-006,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,Payroll rows ↔ bank registry,2025-06,date + amount + account,Не проверено построчно,Частично,"Файл имеется, но batch-level сверка не выполнена",employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-028,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,date | amount | account,employee_id | payroll_batch_id | bank_payment_id,employee_id:Распределение!О(70) | employee_id:Распределение!С(70) | bank_payment_id:Распределение!О(70) | bank_payment_id:Распределение!П(70),,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
