source_file_id,version_id,file_name,domain,risk,formula_error_cells,external_dependency_records,hidden_sheets,duplicate_group,links_impacted,technical_status,production_use_rule,missing_for_closure
FILE-084,VER-016-002,себестоимость Мокеева 2026.xlsx,Себестоимость и производство,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-060,VER-017-001,Расходы 2024.xlsx,Финансы и денежные потоки,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-061,VER-017-002,Расходы 2025.xlsx,Финансы и денежные потоки,Низкий,0,0,0,,2,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-062,VER-017-003,Расходы 2026.xlsx,Финансы и денежные потоки,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-006,VER-018-001,NDA_ИП_Янина + паспорт.docx,Договоры и проектные документы,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-039,VER-019-001,ЗП за январь 2025.xlsx,Персонал и оплата труда,Низкий,0,0,0,,10,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-037,VER-019-002,ЗП за февраль 2025.xlsx,Персонал и оплата труда,Низкий,0,0,0,,10,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-035,VER-019-003,ЗП за март 2025.xlsx,Персонал и оплата труда,Низкий,0,0,0,,10,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-030,VER-019-004,ЗП за апрель 2025.xlsx,Персонал и оплата труда,Низкий,0,0,0,,10,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-033,VER-019-005,ЗП за май 2025.xlsx,Персонал и оплата труда,Низкий,0,0,0,,10,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-032,VER-019-006,ЗП за июнь 2025.xlsx,Персонал и оплата труда,Низкий,0,0,0,,10,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-040,VER-019-007,ЗП за январь 2026.xlsx,Персонал и оплата труда,Критический,4,0,0,,8,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Персонал и оплата труда,Критический,10,0,0,,8,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-036,VER-019-009,ЗП за март 2026.xlsx,Персонал и оплата труда,Низкий,0,0,0,,8,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-031,VER-019-010,ЗП за апрель 2026.xlsx,Персонал и оплата труда,Низкий,0,0,0,,8,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-034,VER-019-011,ЗП за май 2026.xlsx,Персонал и оплата труда,Низкий,0,0,0,,8,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-064,VER-020-001,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,2,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-066,VER-020-002,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,14,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-065,VER-021-001,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,2,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-067,VER-021-002,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,14,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-063,VER-021-003,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,11,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,Средний,0,0,1,,30,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-091,VER-023-001,Факт анализ продаж B2B 2025.xlsx,Продажи и каналы,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-092,VER-023-002,Факт анализ продаж B2B 2026.xlsx,Продажи и каналы,Средний,40,0,0,,1,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-057,VER-024-001,Продажи ЦУМ 2024.xlsx,Продажи и каналы,Низкий,0,0,0,,4,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-058,VER-024-002,Продажи ЦУМ 2025.xlsx,Продажи и каналы,Низкий,0,0,0,,4,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-059,VER-024-003,Продажи ЦУМ 2026.xlsx,Продажи и каналы,Низкий,0,0,0,,4,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-012,VER-025-001,Бюджет 2026.xlsx,Финансы и денежные потоки,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-016,VER-027-001,Вышивка себестоимость 2024-2026.xlsx,Себестоимость и производство,Низкий,0,0,0,,3,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-020,VER-028-001,Декларация по НДС за 1 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-021,VER-028-002,Декларация по НДС за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-022,VER-029-001,Декларация по НДС за 2 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-023,VER-030-001,Декларация по НДС за 3 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-024,VER-031-001,Декларация по НДС за 4 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-025,VER-032-001,Декларация по УСН за 2024 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-027,VER-032-002,Декларация по УСН за 2025 г. (ДЕКОР ООО)(1).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-026,VER-033-001,Декларация по УСН за 2024 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-028,VER-033-002,Декларация по УСН за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-029,VER-034-001,Договор_комплексной_диагностики_ИП_Янина_+_паспорт.docx,Договоры и проектные документы,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-041,VER-035-001,зп_конструкторы_01.26.xlsx,Персонал и оплата труда,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-042,VER-036-001,зп_конструкторы_02.26.xlsx,Персонал и оплата труда,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-043,VER-037-001,зп_конструкторы_03.26.xlsx,Персонал и оплата труда,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-044,VER-038-001,зп_конструкторы_04.26.xlsx,Персонал и оплата труда,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-045,VER-039-001,зп_конструкторы_05.26.xlsx,Персонал и оплата труда,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-046,VER-040-001,ЗП_ЦЕХ 01.26.xlsx,Персонал и оплата труда,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-047,VER-041-001,ЗП_ЦЕХ 02.26.xlsx,Персонал и оплата труда,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-048,VER-042-001,ЗП_ЦЕХ 03.26.xlsx,Персонал и оплата труда,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-049,VER-043-001,ЗП_ЦЕХ 04.26.xlsx,Персонал и оплата труда,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-050,VER-044-001,ЗП_ЦЕХ 05.26.xlsx,Персонал и оплата труда,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-051,VER-045-001,МД — копия.xlsx,Себестоимость и производство,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-052,VER-046-001,Орг. структура на 28.05.2026.pdf,Персонал и оплата труда,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-053,VER-047-001,Остатки ткани из 1С на 31.05.2026.xlsx,Закупки и запасы,Низкий,0,0,0,,4,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-054,VER-048-001,план работы.docx,Договоры и проектные документы,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-055,VER-049-001,Положение об оплате труда и премировании в ИП Янина.doc,Персонал и оплата труда,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-056,VER-050-001,Приложение 1 к положению.docx,Персонал и оплата труда,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-080,VER-051-001,Сведения о наличии отрицательного сальдо ЕНС.pdf,Налоги и обязательная отчётность,Средний,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-081,VER-052-001,Себестоимость Жукова.xlsx,Себестоимость и производство,Высокий,488,0,0,,1,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-082,VER-053-001,Себестоимость Меркушина.xlsx,Себестоимость и производство,Средний,15,0,0,,1,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-085,VER-054-001,Список контрагентов по закупке.xlsx,Закупки и запасы,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-086,VER-055-001,Список представленной отчетности за 2024.pdf,Налоги и обязательная отчётность,Средний,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-087,VER-055-002,Список представленной отчетности за 2025.pdf,Налоги и обязательная отчётность,Средний,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-088,VER-055-003,Список представленной отчетности за 2026.pdf,Налоги и обязательная отчётность,Средний,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-089,VER-056-001,Справка о расчетах по взносам на несч.сл на 25.06.2026.pdf,Налоги и обязательная отчётность,Средний,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-090,VER-057-001,Справка об исполнении обязанности по налогам.pdf,Налоги и обязательная отчётность,Средний,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-093,VER-058-001,Штатка ИП.xlsx,Персонал и оплата труда,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
