gap_id,priority,missing,where_should_be,required_fields,analysis_blocked,uncertainty,owner,available_workaround,status,requested_file_or_export,acceptance_criteria,candidate_fields_found,required_fields_not_found,field_evidence_class,closure_rule
IG-11,Критический,Полный банковский периметр,Банки/финансы,"bank_account_id, legal_entity_id, currency, statements, opening/closing","Cash, liquidity, owner transfers, balance proof",Высокая,Финансы,"Салон, Райффайзен и валютный блок не подтверждены",Не закрыто,Выгрузка/регистр: Полный банковский периметр,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",bank_account_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | legal_entity_id → ЗП за апрель 2025.xlsx / Отчет Салахова / для бонуса / ИП Михайлова | currency → SALES 2024-2026.xlsx / ДДС - доход / курс 95 / Jan | opening/closing → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,statements,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-12,Критический,"Касса, карты и подотчёт с движениями",ERP/Cash ledger,"cash_transaction_id, account_id, date, document, owner, amount, category",Cash roll-forward and fraud/error control,Расчёт невозможен,Финансы,Ручные остатки не являются независимым подтверждением,Не закрыто,"Выгрузка/регистр: Касса, карты и подотчёт с движениями","Полный период, первичные ID, контрольные итоги, владелец и дата формирования",cash_transaction_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | account_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | date → ЗП за апрель 2025.xlsx / отчет Олейник / Дата | document → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / Номер документа | owner → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | amount → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / 29.12.2023 / Дебет | category → ЗП за апрель 2025.xlsx / вышивальщицы / категория,,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-13,Высокий,Журнал корректировок и подтверждённые opening balances,ERP/close register,"adjustment_id, period, account, amount, reason, document, approver",Historical cash reconstruction and audit trail,Высокая,Финансы,12 roll-forward разрывов; часть opening формульно восстановлена,Не закрыто,Выгрузка/регистр: Журнал корректировок и подтверждённые opening balances,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",period → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | account → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | amount → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / 29.12.2023 / Дебет | reason → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | document → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / Номер документа | approver → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,adjustment_id,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-14,Критический,Дебиторская и кредиторская задолженность,ERP/GL,"ar_ap_item_id, counterparty, invoice, due_date, amount, payment, open_balance","Balance, liquidity, CCC, overdue, net debt",Расчёт невозможен,Финансы,Не предоставлено на контрольные даты,Не закрыто,Выгрузка/регистр: Дебиторская и кредиторская задолженность,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",counterparty → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / Контрагент | invoice → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | due_date → Вышивка себестоимость 2024-2026.xlsx / Планирование / СР | amount → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / 29.12.2023 / Дебет | payment → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / Назначение платежа | open_balance → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,ar_ap_item_id,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-15,Критический,Управленческий P&L и Balance с методикой close,ERP/GL/EPM,"account, cost_center, period, accrual, inventory, AR/AP, close_status","Profit, equity, full liquidity, ROIC",Расчёт невозможен,Финансы,Cash result не является бухгалтерской/управленческой прибылью,Не закрыто,Выгрузка/регистр: Управленческий P&L и Balance с методикой close,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",account → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | cost_center → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | period → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | inventory → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | close_status → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,accrual | AR/AP,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-16,Критический,Полный payroll accrual ledger,HRIS/ЗУП,"employee_id, accrual_period, type, gross, deductions, tax base, registry_id","Full labor cost, employee tax reconciliation, accrual/payment lag",Высокая,HR + финансы,2024 отсутствует; 2025/2026 покрыты частично,Не закрыто,Выгрузка/регистр: Полный payroll accrual ledger,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",employee_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | accrual_period → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | gross → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | deductions → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,type | tax base | registry_id,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-17,Критический,Исторические операции ЕНС и распределение ЕНП,ENS/ФНС,"obligation_id, allocation_id, tax_type, period, amount, payment_id, date","Exact tax payment, arrears, overpayment, penalty",Расчёт невозможен,Налоги,"Банк подтверждает cash, но не allocation",Не закрыто,Выгрузка/регистр: Исторические операции ЕНС и распределение ЕНП,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",obligation_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | allocation_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | period → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | amount → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / 29.12.2023 / Дебет | payment_id → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / Назначение платежа | date → ЗП за апрель 2025.xlsx / отчет Олейник / Дата,tax_type,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-18,Критический,Регистр налоговых обязательств и уведомлений,Tax ledger,"notification_id, obligation_id, tax_type, period, due_date, amount, status",Monthly tax calendar and due-date control,Расчёт невозможен,Налоги,Формы дают не все месячные обязательства,Не закрыто,Выгрузка/регистр: Регистр налоговых обязательств и уведомлений,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",notification_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | obligation_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | period → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | due_date → Вышивка себестоимость 2024-2026.xlsx / Планирование / СР | amount → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / 29.12.2023 / Дебет | status → Себестоимость Жукова.xlsx / 2026 / Статус оплаты,tax_type,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-19,Высокий,Помесячный НДФЛ/РСВ и employee-level tax linkage,Payroll/Tax ledger,"employee_id, accrual_period, tax_type, base, amount, declaration_line",Employee-level and monthly tax reconciliation,Высокая,HR + налоги,"Годовые формы сходятся, но детализации нет",Не закрыто,Выгрузка/регистр: Помесячный НДФЛ/РСВ и employee-level tax linkage,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",employee_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | accrual_period → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | amount → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / 29.12.2023 / Дебет | declaration_line → SALES 2024-2026.xlsx / для Юлии (свод продаж) / Dec,tax_type | base,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-20,Высокий,Актуальные справки ЕНС и история по ООО ДЕКОР,ФНС/налоги,"date, balance, obligation, overpayment, enforcement",Current tax exposure for all entities,Высокая,Налоги,Текущие справки представлены только по ИП,Не закрыто,Выгрузка/регистр: Актуальные справки ЕНС и история по ООО ДЕКОР,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",date → ЗП за апрель 2025.xlsx / отчет Олейник / Дата | obligation → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | overpayment → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | enforcement → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,balance,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-21,Высокий,Полный договорный реестр и ключевые условия,DMS/юристы,"contract_id, counterparty, object, dates, limits, SLA, payment terms","Contract risk, supplier/channel terms, liability",Высокая,Юристы,"Переданы отдельные документы, но нет реестра",Не закрыто,Выгрузка/регистр: Полный договорный реестр и ключевые условия,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",contract_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | counterparty → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / Контрагент | object → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,dates | limits | SLA | payment terms,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-22,Критический,"RACI, лимиты и владельцы источников истины",GRC/DMS,"object, owner, steward, approver, limit, escalation","Sustainable close, change control and accountability",Высокая,Руководство,Проектная матрица не утверждена,Не закрыто,"Выгрузка/регистр: RACI, лимиты и владельцы источников истины","Полный период, первичные ID, контрольные итоги, владелец и дата формирования",object → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | owner → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | approver → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | escalation → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,steward | limit,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-23,Высокий,Версионный реестр документов и master data,Data catalog/DMS,"source_file_id, version_id, valid_from/to, status, approver","Reproducibility, rollback, audit trail",Высокая,Data steward,"Технический реестр создан, но не встроен в процесс",Не закрыто,Выгрузка/регистр: Версионный реестр документов и master data,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",source_file_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | version_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | valid_from/to → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | status → Себестоимость Жукова.xlsx / 2026 / Статус оплаты | approver → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-24,Высокий,Корпоративный словарь данных и data contracts,Data catalog,"field, definition, format, owner, validation, refresh, sensitivity",Stable joins and automated validation,Высокая,Data steward + owners,"Предварительные contracts созданы, но не утверждены",Не закрыто,Выгрузка/регистр: Корпоративный словарь данных и data contracts,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",definition → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | format → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | owner → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | validation → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,field | refresh | sensitivity,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
