file_id,file_name,domain,current_state,target_system,target_register,lifecycle,required_action,owner_candidate
FILE-034,ЗП за май 2026.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-035,ЗП за март 2025.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,HRIS/ЗУП + Payroll ledger
FILE-036,ЗП за март 2026.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-037,ЗП за февраль 2025.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,HRIS/ЗУП + Payroll ledger
FILE-038,ЗП за февраль 2026.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-039,ЗП за январь 2025.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,HRIS/ЗУП + Payroll ledger
FILE-040,ЗП за январь 2026.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-041,зп_конструкторы_01.26.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-042,зп_конструкторы_02.26.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-043,зп_конструкторы_03.26.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-044,зп_конструкторы_04.26.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-045,зп_конструкторы_05.26.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-046,ЗП_ЦЕХ 01.26.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-047,ЗП_ЦЕХ 02.26.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-048,ЗП_ЦЕХ 03.26.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-049,ЗП_ЦЕХ 04.26.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-050,ЗП_ЦЕХ 05.26.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-051,МД — копия.xlsx,Себестоимость и производство,Есть,PLM/ERP/MES,"BOM, production order, операции, cost version",Quarantine/Fix,Карантин → исправление → контрольная загрузка,PLM/ERP/MES
FILE-052,Орг. структура на 28.05.2026.pdf,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-053,Остатки ткани из 1С на 31.05.2026.xlsx,Закупки и запасы,Есть,ERP/1С + WMS,"Поставщики, PO, приёмка, материалы, партии",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + WMS
FILE-054,план работы.docx,Договоры и проектные документы,Есть,DMS/GRC,"Договоры, NDA, регламенты, approvals",Quarantine/Fix,Карантин → исправление → контрольная загрузка,DMS/GRC
FILE-055,Положение об оплате труда и премировании в ИП Янина.doc,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-056,Приложение 1 к положению.docx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-057,Продажи ЦУМ 2024.xlsx,Продажи и каналы,Есть,CRM/POS/CMS + ERP,"Заказы, строки продаж, возвраты, settlement",Quarantine/Fix,Карантин → исправление → контрольная загрузка,CRM/POS/CMS + ERP
FILE-058,Продажи ЦУМ 2025.xlsx,Продажи и каналы,Есть,CRM/POS/CMS + ERP,"Заказы, строки продаж, возвраты, settlement",Quarantine/Fix,Карантин → исправление → контрольная загрузка,CRM/POS/CMS + ERP
FILE-059,Продажи ЦУМ 2026.xlsx,Продажи и каналы,Есть,CRM/POS/CMS + ERP,"Заказы, строки продаж, возвраты, settlement",Quarantine/Fix,Карантин → исправление → контрольная загрузка,CRM/POS/CMS + ERP
FILE-060,Расходы 2024.xlsx,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-061,Расходы 2025.xlsx,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-062,Расходы 2026.xlsx,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-063,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-064,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-065,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-066,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-067,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-068,результат капсула 2024.xlsx,Коллекции и продукт,Есть,PLM/MDM,"Коллекции, модели, SKU, версии",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,PLM/MDM
FILE-069,результат капсула 2025.xlsx,Коллекции и продукт,Есть,PLM/MDM,"Коллекции, модели, SKU, версии",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,PLM/MDM
FILE-070,результат кол-я 43 (янв 2024).xlsx,Коллекции и продукт,Есть частично/с ограничениями,PLM/MDM,"Коллекции, модели, SKU, версии",Quarantine/Fix,Карантин → исправление → контрольная загрузка,PLM/MDM
FILE-071,результат кол-я 44 (июнь 2024).xlsx,Коллекции и продукт,Есть частично/с ограничениями,PLM/MDM,"Коллекции, модели, SKU, версии",Quarantine/Fix,Карантин → исправление → контрольная загрузка,PLM/MDM
FILE-072,результат кол-я 45 (янв 2025).xlsx,Коллекции и продукт,Есть частично/с ограничениями,PLM/MDM,"Коллекции, модели, SKU, версии",Quarantine/Fix,Карантин → исправление → контрольная загрузка,PLM/MDM
FILE-073,результат кол-я 46 (июль 2025).xlsx,Коллекции и продукт,Есть частично/с ограничениями,PLM/MDM,"Коллекции, модели, SKU, версии",Quarantine/Fix,Карантин → исправление → контрольная загрузка,PLM/MDM
FILE-074,результат кол-я 47 (янв 2026).xlsx,Коллекции и продукт,Есть частично/с ограничениями,PLM/MDM,"Коллекции, модели, SKU, версии",Quarantine/Fix,Карантин → исправление → контрольная загрузка,PLM/MDM
FILE-075,результат круиз 09.04.25.xlsx,Коллекции и продукт,Есть,PLM/MDM,"Коллекции, модели, SKU, версии",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,PLM/MDM
FILE-076,результат круиз 14.04.26.xlsx,Коллекции и продукт,Есть,PLM/MDM,"Коллекции, модели, SKU, версии",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,PLM/MDM
FILE-077,результат круиз 22.04.24.xlsx,Коллекции и продукт,Есть,PLM/MDM,"Коллекции, модели, SKU, версии",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,PLM/MDM
FILE-078,результат НГ 2024.xlsx,Коллекции и продукт,Есть,PLM/MDM,"Коллекции, модели, SKU, версии",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,PLM/MDM
FILE-079,результат НГ 24.11.25.xlsx,Коллекции и продукт,Есть,PLM/MDM,"Коллекции, модели, SKU, версии",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,PLM/MDM
FILE-080,Сведения о наличии отрицательного сальдо ЕНС.pdf,Налоги и обязательная отчётность,Есть частично/с ограничениями,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Official DMS source,Хранить как первичный/официальный документ в DMS; метаданные связать с регистром,Tax ledger + ENS register + DMS
FILE-081,Себестоимость Жукова.xlsx,Себестоимость и производство,Есть частично/с ограничениями,PLM/ERP/MES,"BOM, production order, операции, cost version",Quarantine/Fix,Карантин → исправление → контрольная загрузка,PLM/ERP/MES
FILE-082,Себестоимость Меркушина.xlsx,Себестоимость и производство,Есть частично/с ограничениями,PLM/ERP/MES,"BOM, production order, операции, cost version",Quarantine/Fix,Карантин → исправление → контрольная загрузка,PLM/ERP/MES
FILE-083,себестоимость Мокеева 2025.xlsx,Себестоимость и производство,Есть,PLM/ERP/MES,"BOM, production order, операции, cost version",Quarantine/Fix,Карантин → исправление → контрольная загрузка,PLM/ERP/MES
FILE-084,себестоимость Мокеева 2026.xlsx,Себестоимость и производство,Есть,PLM/ERP/MES,"BOM, production order, операции, cost version",Quarantine/Fix,Карантин → исправление → контрольная загрузка,PLM/ERP/MES
FILE-085,Список контрагентов по закупке.xlsx,Закупки и запасы,Есть,ERP/1С + WMS,"Поставщики, PO, приёмка, материалы, партии",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + WMS
FILE-086,Список представленной отчетности за 2024.pdf,Налоги и обязательная отчётность,Есть частично/с ограничениями,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Official DMS source,Хранить как первичный/официальный документ в DMS; метаданные связать с регистром,Tax ledger + ENS register + DMS
FILE-087,Список представленной отчетности за 2025.pdf,Налоги и обязательная отчётность,Есть частично/с ограничениями,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Official DMS source,Хранить как первичный/официальный документ в DMS; метаданные связать с регистром,Tax ledger + ENS register + DMS
FILE-088,Список представленной отчетности за 2026.pdf,Налоги и обязательная отчётность,Есть частично/с ограничениями,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Official DMS source,Хранить как первичный/официальный документ в DMS; метаданные связать с регистром,Tax ledger + ENS register + DMS
FILE-089,Справка о расчетах по взносам на несч.сл на 25.06.2026.pdf,Налоги и обязательная отчётность,Есть частично/с ограничениями,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Official DMS source,Хранить как первичный/официальный документ в DMS; метаданные связать с регистром,Tax ledger + ENS register + DMS
FILE-090,Справка об исполнении обязанности по налогам.pdf,Налоги и обязательная отчётность,Есть частично/с ограничениями,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Official DMS source,Хранить как первичный/официальный документ в DMS; метаданные связать с регистром,Tax ledger + ENS register + DMS
FILE-091,Факт анализ продаж B2B 2025.xlsx,Продажи и каналы,Есть,CRM/POS/CMS + ERP,"Заказы, строки продаж, возвраты, settlement",Quarantine/Fix,Карантин → исправление → контрольная загрузка,CRM/POS/CMS + ERP
FILE-092,Факт анализ продаж B2B 2026.xlsx,Продажи и каналы,Есть частично/с ограничениями,CRM/POS/CMS + ERP,"Заказы, строки продаж, возвраты, settlement",Quarantine/Fix,Карантин → исправление → контрольная загрузка,CRM/POS/CMS + ERP
FILE-093,Штатка ИП.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
