canonical_sku,alias_status,fixed_lines,channels,fix_types,sale_name_sample,wrong_or_alt_cost_name_sample,registry_accept,applied_to_sales,action,owner_role,priority,dojim_status,pack,note
T-2923,CONTROLLED_CANDIDATE,3,TSUM,CATEGORY_MISMATCH,"Блуза-топ женский, черный, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-2750D,CONTROLLED_CANDIDATE,2,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, голубая, из шелка, на бретелях",Топ на бретелях шелк,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
0-3073A,CONTROLLED_CANDIDATE,2,TSUM,CATEGORY_MISMATCH,"Свитшот женский, белый, с декором принт ""MY YANINA COUTURE"", с коротким рукавом",БЛУЗА,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
0-3362,CONTROLLED_CANDIDATE,1,IM,CATEGORY_MISMATCH,"Блуза-топ женская, белая, из эко шелка, с вытачками",ТОП,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
0-2027F,CONTROLLED_CANDIDATE,1,IM,CATEGORY_MISMATCH,"Платье-кафтан женское, черное с принтом ""грибы и цветы"", из шелка",Н/ПЛАТЬЕ,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-3091D,CONTROLLED_CANDIDATE,1,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, черная, из бисерной ткани","Топ без рукавов, кокетка- черная сетка, основа-
бисерная ткань",PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
0-2493A,MARGIN_EXCEPTION_ACCEPTED,2,B2B,WHOLESALE_OK_LOSS,,,ACCEPT,Y,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
0-2496,MARGIN_EXCEPTION_ACCEPTED,2,B2B,WHOLESALE_OK_LOSS,,,ACCEPT,Y,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
0-2497,MARGIN_EXCEPTION_ACCEPTED,4,B2B,WHOLESALE_OK_LOSS,,,ACCEPT,Y,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
0-3243,QUARANTINE_ACCEPTED,1,IM,COST_IDENTITY_QUARANTINE,,,ACCEPT,Y,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
